Username,Text
rosmaniarti_fitriani,sampe mw pencairan terakhir koo saya blm dapet notif survey ya?? temen saya yg barengan udhaa 3x survey
devimarito,Admin terus gimana yang udah isi evaluasi. Apa memang nggak ada lagi ya 😭
maharanny28,Seharusnya terima insentif tgl 26 di undur 7januari.. Memang rezeky Anak u/ beli Buku sekolah 😁
digaming.id,"Masalahnya yang pencairan bulan januari, sudah cair dibulan Desember min. Itu temen saya ada. Nah ini punya saya pencairan bulan Desember, malah mundur ke Januari 🤦🏼‍♂️ kek gimana kl yg punya hutang dibulan desember tp sudah tenang karena ada insentif prakerja, eeehhh ga taunya mundur syantik 🤣🤣🤣🤣"
ptriindahhh,@puputlanii
ibrahimkantee,Sudah cair semua .. sudah abis juga ... nice prakerja 👍👍
alexander_arywibowo,Alhamdulilah udah cair kemren insetiv platihan plus surevei😇🙏❤
_mhydn,Kartu prakerja bakal ada gelombang baru ga Min? @prakerja.go.id
yung27_,Admin gmna nih survei kebekerjaan sy kok gk muncul² pdhl udh dpt 3×
milans96,"Alhamdulillah slama ini lncar jaya , mksi prakerja pelatihan nya pun sngt membantu bagi sya yg sedang berbisnis dmasa pandemi ini, terbaikkkkkkkk❤"
_krisnadwipayana99,"@prakerja.go.id admin insentif di dashboard prakerja udah ditranfer, tapi kenapa di atm belum masuk ?"
i.a._saputra,Knpa harus di undurr...bukan nya di majuinn
riidho1004,Alhamdulillah insentif bulan des udh cairr terimakasih prakerja🙏🏻
achmad106,"Alhamdulillah diundur jadi tanggal 5 januari, bs buat nambah modal. Thanks 😍"
aljufry1999,Min kapan buka pendaftaran selanjutnya @prakerja.go.id
ramdhanidhanii,Yang seharusnya bulan desember bisa cair ternyata berubah di januari mari kita reunian meratapi kesedihan.😢😢😢
mbakgal_748,Bagaimana cara mengajukan beasiswa untuk menambah saldo pelatihan yang hampir habis...?
shinsy_1,"Aku udah jauh"" hari cair yg harusnya tgl 1 januari😅 makasih prakerja❤️"
herdyunitedzindo,Insentif tgl 32april udah cair tgl 12desember..😂
temanbunda.homecare,"Min sy tdk bs mengisi survei dr kmrn, hub cs jg tdk bs tlg masukannya @prakerja.go.id"
maia_oshin,@sitiatikahatikah89 😂😂😂😂 @sitiatikah moloorrrrr daghhh😂
fahruulzf,Buka lagi gelombang selanjut nya engga ya?
ferdiianssyah,@muhammadirhamm harap bersabar
arwandd_jr,🔥🔥mantap
ichachasep40,Untuk insentive survey ke 3 kok g ada
djeladjahadventure,Kalo udah cair jangan lupa sisihkan untuk bertamasya dan sewa alat kempingnya di kami ya slur~
doniiiiginanjar,Yah kemarin tanggal 25 sekarang dimundurin tanggal 6
deri_shndar,Terima kasih prakerja dari saya angkatan gelombang 6 🙏🙏
dewisafa4,"Min mau tnya klw yg insetifnya udh di transfer smua,apa nanti akan dpt lagi🙏🙏"
akhipertama,❤️
lintarzhafran,@prakerja.go.id jadi diperpanjang gak kak di 2021??
anggaadikaswara08,Alhamdullilah saya ga pernah cair karena ge lolos terud😂
ayun2810,Di tulisan dasboard sudah di transfer tapi uang belom masuk atm
hennycandra_fuad,"Maaf @prakerja.go.id, saya punya BPJS Ketenagakerjaan. Pada perncairan gelombang 1 ada konfirmasi ternyata rekening saya tidak aktif. Trus saya sudah memperbarui rekening saya. Dan sampai gelombang 2. BSU saya tetap tdk cair. Maaf apa masih ada kemungkinan BSU saya bisa cair? Trimakasih"
irma_awalia,"Min kenapa jadwal insentifnya diundurrrrrrrr😭😭😭😭, berikan diriku penjelasan min😭😭😭, seharusnya dapet tgl 25 des 2020, kenapa jadi tgl 6 januari 2021😭😭😭😭 @prakerja.go.id"
bowosz,"Apakah dana insentif akan d lnjutkan kak? Jadi berkala gtu ,, ku harap d lnjutkan ya kak ,jngn hnya 4 bulan"
aa_anchay,"Insentif prtma 1 desember sdh berhasil,tpi saldo blum msuk rekening smpai skrng min"
irfanw_17,alhamdullilah insentif udh cair tinggal yg survai kurang 1 blm cair😀
maya_norhayati,cek email dongg...saya email gak masuk2.. belom terdaftar tapi gak bisa login trus..udah dr gelombang awal..udah email surat pernytaan..tapi email gak masuk2 trus...
jr_a140502,"Puji Tuhan so cair semua 😁🤗, tq 😇"
andri_akew18,Knap klau sya insentif hrus nya dapat 10 desember smpe skarang blm dapet pdhall sudah berhasil d tranfer tp blm mask ke no rek sya ? Trs spam cs ke email ga ada respon skali pun
adriadi918,Knp insentif bulan Desember d geser k Januari 2020?
gesankwijayakusuma,Gelombang 14 kapan
dafidhidayat27,Apakah akan ada gelombang 12 @prakerja.go.id
nandaagusaldi.98,Sy pernah ganti no di profil sekitar 4 bulan apa pengaruh pencair di bnk bni yg sudah daftarkan tpi baru buka tabungan apa sy pergi ke bank mohon penjelasannya mind
setiawati8020,"Akun ewallet ovo saya ada yg merubah oleh orang yg tidak dikenal, sya mw merubah kembali ke no hp sya gimna caranya?mohon bantuan nya.."
17lisarose,Knp survey evaluasi ke 3 saya tidak bisa di isi? Selalu gagal n skrg sudah tidak ada lagi
leda_lede_leda_lede,Gel 12 ?
syamsuar.suar10,❤️❤️
17lisarose,"Knp sy tidak bisa isi evalusi ke 3, knp selalu gagal? Dan skrg sudah tidak ada lagi"
fanny_rahma,@ratnaarismawati @denispangestu_
hanikassofa9,Alhamdulillah......intensif saya juga sudah.....terimakasih prakerja....trimaksih juga untuk para tenaga d balik layar🥰...mudah Han berkah dan manfaat 🤲
kusumahganjar,"Min, knp kita yg benar2 d phk d blm dapat kerja ga dapat kartu prakerja dan ga lolos. Teman saya yg sudah kerja mlh dapat bantuan prakerja. Tolong di evaluasi lagi sistemnya."
fazhanatha,MB
fazhanatha,🙏l
fazhanatha,apa bener min prakerja akan di lanjutkan 2021 @prakerja.go.id
mukhtar_bin_naidih,"Gelombang berikutnya, kapan lagi dibuka, sy daftar selalu kuota gelombang habis trus"
robbiipangeran,Kapan gelombang 12 dibuka lagi min
ikka.maysaroh,"Min, sayaa kok udh nyobain berkali-kali nggak pernah ada kesempatan sih."
gusti_maulanaarif,Alhamdulillah udah cair 🙏🏻
mqulnahudin14,"YG DARI GELOMBANG PERTAMA TIDAK LOLOS-LOLOS MENANGIS MELIHAT POSTINGAN INI,"
sugiharnirayyanhakim,"Alhamdulillah sdh wisuda, terima kasih prakerja..."
andhikprs,Masalahnya apa ya
kvnchristian,Yah belum cair min
aboedt_phobia,"sayang nya program ini yg sudah terdaftar prakerja gak bisa di lanjut lagi , cukup 4bulan , gimna yg gak kerja ."
andhikprs,Kenapa ya saya dari gelombang 9 sampai 11 kemaren daftar kok belom berhasil terus?
nurdamurni,Insentif bulan januari udaah cair bulan desember. Alhamdulillah 🤗
wi_to19,Kyk gk berasa ya bro 4bln 🤣🤣
awaksaja,"Survei ke 3 saya kok gak keluar² pak? Teman saya sudah keluar survei ke 2 dan ke 3 nya sekaligus, apa keluarnya bulan januari.??"
azkafhotografhy,trimakasih prakerja👏
fitria_sari461,Kenapa tgl insentif sy brubah dri tgl 25 desember malah mundur ke tgl y januari 2021😠
noviariyanti20_,Tgl 25 des mundur jd tgl 6 januari😭😭knp begitu
babypiyakk22,"Alhamdulillah udah cair semuaa, terimakasih🙏🙏"
yudhaalfi_,Ditunggu insentif yg ke-5 nya min 🤭😁
agungbgs45,Gelombang selanjutnya kapan min ?
auliya.cmprnk,Saya juga di undur tgl 6jnuari hrus ny tgl 25 des
renata.alexander,Kalau punya saya tgl 21 tapi masuk nya tanggal 13.. Terima kasih
herni_konita,Gelombang ku gk prnh bisa dtemukan knp sie min ??
imannuel29,"Terima kasih min. Aku udh cair kmrn. Seharusnya tgl 20 cair. 😁😁😁😁Tggl insentif yg ke 3, tgl 5 January 👍👍👍"
kurniawan1723ymail.com9,Pada Punya Kartu Prakerja?
wita2725,"Tolong sy di bantu ibuk,sy blm pernah dpt😭😭"
deri0.3,Min untuk survei evaluasi apakah ada lagi di tahun depan untuk gelombang 11 karena ada yang hanya survei ke 1 nya yang muncul?
ekikzheglenk,Nice
anisyaatwd,admin mau tanya kalo yg evaluasinya di dasboard nya udh berhasil di transfer tp pas di cek ke atm blm ada gmn ya?
widy_ana92,"@prakerja.go.id  mau nanya intensif saya  yang harusnya tanggal 16 cair, tapi statusnya dari tgl 14 Des berhasil ditransfer sampai sekarang blm cair. Mohon penjelasannya gimana ????"
ladyrumn_senpai,"Min.. saldo pelatihan saya masih ada sampe sekarang, klo saya beli pelatihan lagi sekarang bisa gak ya? Sebenernya, saya berharap ada pelatihan offline, jadi sengaja saya sisahin saldonya, ehh ternyata sampe akhir taun masih juga pandemic, jadi belum kepake deh sisa saldonya.."
ceritadalambait,Admin tolong baca DM. penting ini tentang Bullying @prakerja.go.id . mau bunuh diri
ceritadalambait,Admin tolong baca DM. penting ini tentang Bullying @prakerja.go.id . mau bunuh diri
you_di2021,@prakerja.go.id  insentif yg tgl 14 blm cair min sampe skg
bang.lemmon.583,Glombang nya sampe glombang brapa
iwansanjaya609,Gelombang 12 kapan dibuka😢😢
isma_sipit24,Saya mengikuti pelatihan lain Dan sudah mendapatkan sertifikat Yang ke dua kalinya. Apakah dapet intensif juga?
mufidahtriana,"Gak pernah lolos,yang lolos malah orang""yang pendapatan lebih🙏"
dhoniesan,"Admin, mau nanya nih, yg intensif nya udah turun semua, apakah bakal dapat lagi di kemudian hari posisi prakerja ku sudah clear 4X intensif survey pun sudah turun 3x, apakah bakalan dapet lagi??"
banditagus,"Jadwal tgl 25 Desember, d undur jadi tgl 6 Januari😭"
nay.potabuga,@mimin.tundu sudah doew
noeryana_abdussalam,Min saya sudah survey ke tiga tahap tapi yg cair cuma 2 insentif yg satu lagi hilang bak ditelan bumi ...
ichfn_rmdn,Pantesan
danialmud_7,alhamdullilah sampai gelombang terakhir tidak lolos jg.trima ksih prakerja👏
nayla.kalista,Kak gimna nich insentif survey saya yg ke 3 kk gk muncul di dasboor ya.pdhal sudah isi survey jg...knp gk muncul didasboor ya insentif survey yg 50 ribu ny...trima kasih
lilis_widyasari,😅 harus nya tgl 1 cair jd mundur tgl 8....wew bgttt
orinmutia,Ohh ini maksudnya bund @cek_meymey 🤣
hendrayan_,@prakerja.go.id  survei 2 dan survei 3 saya kok belum ada tanggal pemcairannya ya??? Mohon penjelasannya
mochammadyusupmaulana_14,Kenapa ngga bulan sekarang min saya harusnya tanggal 25 jadi 6 januari
dhibae_,daftar dari gelombang 1-7 masih belum masuk mana suaranya ???
bar.hehe,Jadwal tgl 21 Desember. Knp di mundurin dah min jdi tgl 5????
mimin.tundu,@nay.potabuga
agusr_speeds,Korbane @nkcandraa 🤣
jopaypasti,2 kali daftar  gagal terus
hendrayan_,@prakerja
srimul23456,Ag ga dpt apa niii dri Ada kopit tambah kecepit bener dpt raskin aja tuuu sebulan sekali emang betulll
dedoni73,"Nggak kuatir, cuma kecewa, katanya cair tgl 15."
vitha275,BLT tahap kedua kpn muncul ny ..
rd_nawang,"Agak kecewa insentif tgl 21 Des diundur smp tgl 6 Jan, tapi yg jadwalnya Januari malah udah cair duluan 😭"
fahrialbaihaqi23,Gelombang 12 kapan di buka nya
rahmabeauty86,"Terimakasih @prakerja.go.id, mulai dari pelatihan, insentif berjalan lancar, lebih cepat dari tgl 👏"
watasicha,Jadwal insentif saya asal 4 januari jadi 8 januari ko bisa berubah ya?
mspryndi23_indonesia,Saldo nya yg masih ada gimana min.? Bisa di pakai atau tidak.?
rins_babyspahomecarebatu,mau tanya kalau sisa saldo blm kepakwk buat beli pelatihan hangus ya
mhmmdr26_,"yg menggunakan rek BNI sudah masuk semua min, padahal masuk bulan januari tapi sudah masuk bulan desember semua. kok yang menggunakan Rek e-wallet tidak masuk semua"
miftahul_arief,1 januari mundur 8 januari
nthaa_thha,Blm cair semua bru 1 ... stu lagi blm ada 😭
